datetime,batch,epoch,train_loss,val_loss
,,,,
2023-10-31 11:30:18.443719,26,1,0.1363440901041031,0.6372402444895771
,,,,
,,,,
,,,,
,,,,
2023-10-31 11:55:57.840407,26,1,0.8022438287734985,0.5357056972053316
,,,,
,,,,
,,,,
2023-10-31 12:09:34.310484,26,1,0.551813006401062,0.569898878534635
2023-10-31 12:14:58.074694,26,2,1.1132676601409912,0.5127274841070175
2023-10-31 12:20:36.136095,26,3,0.25208526849746704,0.4791238241725498
2023-10-31 12:27:13.616873,26,4,1.200052261352539,0.5205730599247747
2023-10-31 12:32:02.861595,26,5,0.11781418323516846,0.38156748480266994
2023-10-31 12:38:38.290210,26,6,0.048300839960575104,0.4345532359762324
2023-10-31 12:47:40.647235,26,7,0.17378337681293488,0.6576914992959549
2023-10-31 12:56:39.911847,26,8,0.0032130032777786255,0.4077589597242574
2023-10-31 13:03:21.815621,26,9,0.007080477196723223,0.22532882230977216
2023-10-31 13:09:13.262942,26,10,0.008439067751169205,0.4444592882646248
2023-10-31 13:16:08.819576,26,11,0.09536457061767578,0.2138352431356907
2023-10-31 13:20:55.562789,26,12,0.017900211736559868,0.23398556609431076
2023-10-31 13:25:47.773092,26,13,0.0012192749418318272,0.2370401964160717
2023-10-31 13:31:37.095093,26,14,0.00897461362183094,0.20230255475164288
2023-10-31 13:37:29.565160,26,15,0.003671783022582531,0.18603111226629052
2023-10-31 13:46:09.544933,26,16,0.00011633542453637347,0.22428919770108122
2023-10-31 13:52:52.502841,26,17,0.007552917581051588,0.20666014313853034
2023-10-31 13:58:07.238343,26,18,2.205368218710646e-06,0.2143216749989531
2023-10-31 14:08:27.419653,26,19,0.00010960163490381092,0.23622907011950803
2023-10-31 14:17:57.122490,26,20,0.00134531338699162,0.22630034100277246
