datetime,batch,epoch,train_loss,val_loss
,,,,
2023-10-31 14:49:02.682179,26,1,0.7063663005828857,0.6944607165124681
2023-10-31 14:49:26.536566,26,2,0.6876235008239746,0.6849490652481715
2023-10-31 14:49:50.172336,26,3,0.6497181057929993,0.6739598082171546
2023-10-31 14:50:13.711802,26,4,0.6980282068252563,0.6661039259698656
2023-10-31 14:50:37.615282,26,5,0.6639792323112488,0.6576410035292307
2023-10-31 14:51:01.633145,26,6,0.708830714225769,0.6499612695640988
2023-10-31 14:51:25.793722,26,7,0.6799405813217163,0.6383918109867308
2023-10-31 14:51:49.678393,26,8,0.7551488280296326,0.6313831450210677
2023-10-31 14:52:13.364855,26,9,0.5910643339157104,0.625225575433837
2023-10-31 14:52:37.908738,26,10,0.48190972208976746,0.6199337393045425
2023-10-31 14:53:01.994361,26,11,0.498893678188324,0.6192185812526279
2023-10-31 14:53:26.241583,26,12,0.7441347241401672,0.6045122891664505
2023-10-31 14:53:50.393226,26,13,0.6791304349899292,0.6027456877960099
2023-10-31 14:54:14.845082,26,14,0.33604371547698975,0.5951709101597468
2023-10-31 14:54:39.164708,26,15,0.3752290606498718,0.5873578687508901
2023-10-31 14:55:03.488839,26,16,0.7418036460876465,0.5857970491051674
2023-10-31 14:55:27.918754,26,17,0.4350014328956604,0.5861732785900434
2023-10-31 14:55:52.209166,26,18,0.6816663146018982,0.5776374820205901
2023-10-31 14:56:16.545170,26,19,0.4638459384441376,0.5746750864717696
2023-10-31 14:56:40.685282,26,20,0.6681389808654785,0.582614024480184
2023-10-31 14:57:05.057461,26,21,0.7482571601867676,0.5772731378674507
2023-10-31 14:57:29.469320,26,22,0.5018105506896973,0.5809250614709325
2023-10-31 14:57:53.708372,26,23,1.149559736251831,0.5718215761913193
2023-10-31 14:58:18.088078,26,24,0.512719452381134,0.5696142655279901
2023-10-31 14:58:42.310770,26,25,0.6993762850761414,0.5645873405867152
2023-10-31 14:59:06.675214,26,26,0.7122836709022522,0.5628407291240163
2023-10-31 14:59:30.885791,26,27,0.6666185259819031,0.562190380361345
2023-10-31 14:59:55.062154,26,28,0.640613317489624,0.563487998313374
2023-10-31 15:00:19.255415,26,29,0.3134957551956177,0.577069588833385
2023-10-31 15:00:43.495940,26,30,0.7451443076133728,0.5594663222630819
2023-10-31 15:01:07.667225,26,31,0.8064053058624268,0.5598558758695921
2023-10-31 15:01:32.041626,26,32,0.8247250318527222,0.5563850361439917
2023-10-31 15:01:56.358551,26,33,0.32150936126708984,0.5571183992756737
2023-10-31 15:02:20.589345,26,34,0.2506487965583801,0.5598273343510098
2023-10-31 15:02:45.049671,26,35,0.7364003658294678,0.564261813958486
2023-10-31 15:03:09.282734,26,36,0.6832921504974365,0.5452148169279099
2023-10-31 15:03:33.548035,26,37,0.7331650257110596,0.5451728387011422
2023-10-31 15:03:57.597127,26,38,0.33117765188217163,0.548540762729115
2023-10-31 15:04:21.850260,26,39,0.40755200386047363,0.5401449186934365
2023-10-31 15:04:46.074171,26,40,0.815700888633728,0.5346061057514615
2023-10-31 15:05:10.267710,26,41,0.6991025805473328,0.5412664471401109
2023-10-31 15:05:34.732903,26,42,0.7459239363670349,0.5416726238197751
2023-10-31 15:05:58.842811,26,43,0.3130415081977844,0.542031960354911
2023-10-31 15:06:23.255743,26,44,0.6832610368728638,0.5393690251641803
2023-10-31 15:06:47.479013,26,45,0.721880316734314,0.5302395679884486
2023-10-31 15:07:11.775228,26,46,0.7428133487701416,0.5406800152526962
2023-10-31 15:07:35.970668,26,47,0.2407533824443817,0.5339824333786964
2023-10-31 15:08:00.243908,26,48,0.8331803679466248,0.5245280116796494
2023-10-31 15:08:24.561917,26,49,0.8235649466514587,0.5481197221411599
2023-10-31 15:08:48.732183,26,50,0.7576152682304382,0.5350283160805702
2023-10-31 15:09:12.865170,26,51,0.23793372511863708,0.5306744741068946
2023-10-31 15:09:37.052945,26,52,0.24424272775650024,0.5431046444508765
2023-10-31 15:10:01.259588,26,53,0.2339347004890442,0.5226137820217345
2023-10-31 15:10:25.323679,26,54,0.8161854147911072,0.5200070879525609
2023-10-31 15:10:49.553783,26,55,0.2159358114004135,0.5233343326383166
2023-10-31 15:11:13.767590,26,56,0.7044838666915894,0.5288833710882399
2023-10-31 15:11:38.190364,26,57,0.2992081046104431,0.526615998811192
2023-10-31 15:12:02.728475,26,58,0.7032067179679871,0.5274234993590249
2023-10-31 15:12:26.904844,26,59,0.8567441701889038,0.5168847375445895
2023-10-31 15:12:51.127780,26,60,0.7860895395278931,0.548429043756591
2023-10-31 15:13:15.313255,26,61,0.28266027569770813,0.519657566315598
2023-10-31 15:13:39.496802,26,62,0.14375482499599457,0.5159396562311385
2023-10-31 15:14:03.607511,26,63,0.8833239078521729,0.5140826909078492
2023-10-31 15:14:27.934414,26,64,0.9991238117218018,0.5229151571790377
2023-10-31 15:14:52.287662,26,65,0.6803444623947144,0.5124805354409747
2023-10-31 15:15:16.575256,26,66,0.7810051441192627,0.5140877498520745
2023-10-31 15:15:40.846611,26,67,0.5147832632064819,0.521192241874006
2023-10-31 15:16:05.108496,26,68,0.7706117630004883,0.5109279279907545
2023-10-31 15:16:29.397424,26,69,1.7941343784332275,0.5225528693861432
2023-10-31 15:16:53.667369,26,70,0.15861624479293823,0.5209492155247264
2023-10-31 15:17:17.870946,26,71,0.49447500705718994,0.5115495406919055
2023-10-31 15:17:42.360909,26,72,0.2619033455848694,0.5137469561563598
2023-10-31 15:18:07.011009,26,73,0.14158138632774353,0.5053972411486838
