datetime,batch,epoch,train_loss,val_loss,val_accuracy
2023-11-12 00:33:47.457681,26,1,0.1992378830909729,0.24293097152762774,91.05421454461325
2023-11-12 00:36:00.679627,26,2,0.029000768437981606,0.12853392343978515,95.20320814374952
2023-11-12 00:38:11.344785,26,3,0.010043859481811523,0.07498085321175679,97.23143363923806
2023-11-12 00:40:27.845535,26,4,0.03688598424196243,0.0542890643964205,97.8946556643788
2023-11-12 00:42:41.988830,26,5,0.7184959650039673,0.05281384483584533,97.97177450451146
2023-11-12 00:44:55.234043,26,6,0.09031655639410019,0.028855353908134387,98.89720058610318
2023-11-12 00:47:12.154875,26,7,0.0012918332358822227,0.020850280607648847,99.23652348268682
2023-11-12 00:49:25.528263,26,8,0.02748250961303711,0.017605890535717972,99.37533739492558
2023-11-12 00:51:39.367480,26,9,4.503954914980568e-05,0.012796320311385069,99.60669391532352
2023-11-12 00:53:49.418664,26,10,0.05432289466261864,0.014734278703304267,99.53728695920414
2023-11-12 00:56:03.133573,26,11,0.321029931306839,0.013011711396257581,99.5449988432174
2023-11-12 00:58:16.159579,26,12,0.00041920514195226133,0.014971296298616503,99.49872753913782
2023-11-12 01:00:30.073375,26,13,0.6103390455245972,0.009916569297290293,99.6529652194031
2023-11-12 01:02:40.613964,26,14,0.000605450535658747,0.006372462811955872,99.79177913164186
2023-11-12 01:04:53.662849,26,15,0.00249051908031106,0.009905209352778893,99.66067710341636
2023-11-12 01:07:06.327196,26,16,6.139171091490425e-06,0.007548836180386629,99.73008405953574
2023-11-12 01:09:19.274361,26,17,0.07677198946475983,0.006822641868166276,99.76864347960206
2023-11-12 01:11:32.413241,26,18,1.579520017003233e-06,0.006640773122436863,99.75321971157554
2023-11-12 01:13:46.673738,26,19,7.05314232618548e-05,0.005938580471762408,99.7840672476286
2023-11-12 01:15:57.830117,26,20,0.005548682063817978,0.0056340401899150905,99.79177913164186
2023-11-12 01:18:11.477273,26,21,0.0027200174517929554,0.005422906772082993,99.79949101565512
2023-11-12 01:20:23.210030,26,22,1.598797825863585e-05,0.004269344265999799,99.8688979717745
2023-11-12 01:22:37.276662,26,23,3.507243309286423e-05,0.01266036039052259,99.63754145137658
2023-11-12 01:24:50.896554,26,24,0.004031881224364042,0.00340067556281665,99.8688979717745
2023-11-12 01:27:05.830667,26,25,0.1622641682624817,0.0035501231954949324,99.8688979717745
2023-11-12 01:29:15.963826,26,26,0.00013851212861482054,0.004336180070787384,99.85347420374798
2023-11-12 01:31:28.344380,26,27,1.4453388757829089e-05,0.0030306615539105342,99.8688979717745
2023-11-12 01:33:40.360231,26,28,3.123095302726142e-05,0.0042434324282507605,99.83033855170818
2023-11-12 01:35:55.107393,26,29,0.000510980433318764,0.004091517366648063,99.86118608776124
2023-11-12 01:38:08.215945,26,30,0.0014250611420720816,0.005453328723547186,99.81491478368166
2023-11-12 01:40:20.705905,26,31,0.0006097016157582402,0.003047410198706444,99.86118608776124
2023-11-12 01:42:33.798566,26,32,1.1264951353950892e-05,0.002737315796226839,99.89974550782756
2023-11-12 01:44:47.535525,26,33,0.11836101114749908,0.0028242218327671517,99.87660985578776
2023-11-12 01:47:01.805983,26,34,9.372372005600482e-05,0.0016875654036214382,99.95372869592042
2023-11-12 01:49:18.449088,26,35,8.448742846667301e-06,0.0036606076932907115,99.83805043572144
2023-11-12 01:51:30.759874,26,36,0.0059112790040671825,0.0020273761998256313,99.9151692758541
2023-11-12 01:53:45.357515,26,37,1.6509784472873434e-05,0.0015297319126577013,99.93830492789388
2023-11-12 01:55:58.490613,26,38,0.027407271787524223,0.004270309090653326,99.85347420374798
2023-11-12 01:58:11.576196,26,39,0.008142259903252125,0.0023249503461102426,99.89974550782756
2023-11-12 02:00:24.164802,26,40,8.369378338102251e-05,0.0024362792795316773,99.92288115986736
2023-11-12 02:02:38.838243,26,41,0.00010304547322448343,0.001955416850464051,99.93830492789388
2023-11-12 02:04:52.291459,26,42,0.00012452469673007727,0.003444643255684905,99.89974550782756
