datetime,batch,epoch,train_loss,val_loss,val_accuracy
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2023-11-14 21:25:16.038363,26,1,0.0309734083712101,0.13123851897904673,2485.9335235598055
2023-11-14 21:26:58.113588,26,2,0.0026944419369101524,0.03305072862930527,2572.645947404951
2023-11-14 21:28:35.391056,26,3,0.0006064251647330821,0.03224394147380157,2573.4479833423306
2023-11-14 21:30:17.063772,26,4,2.0009740637760842e-06,0.015217134147533,2582.8719056065397
2023-11-14 21:31:58.410651,26,5,3.653737439890392e-05,0.005813841475804304,2592.8973548237836
2023-11-14 21:33:38.616665,26,6,1.8889389821197256e-06,0.002748544733515672,2596.707025526336
2023-11-14 21:35:13.152806,26,7,1.86197976290714e-05,0.0033183324973862743,2596.707025526336
2023-11-14 21:36:46.106150,26,8,0.0029274141415953636,0.003815014185837535,2595.9049895889566
2023-11-14 21:38:22.795396,26,9,0.00011923773126909509,0.0015706185410752766,2597.108043495026
2023-11-14 21:39:57.941859,26,10,7.863980863476172e-05,0.0030397476169917647,2595.9049895889566
2023-11-14 21:41:40.297712,26,11,7.655768422409892e-05,0.0025919122398542086,2595.9049895889566
2023-11-14 21:43:21.516551,26,12,1.919406031447579e-06,0.0017421859892595701,2596.9075345106808
2023-11-14 21:45:00.319388,26,13,0.00015679506759624928,0.0009426386099469691,2597.3085524793705
2023-11-14 21:46:38.736334,26,14,0.003327056299895048,0.0027638699082441404,2595.7044806046115
2023-11-14 21:48:16.076201,26,15,1.4048265256860759e-05,0.002476916311957467,2595.102953651577
2023-11-14 21:49:54.445473,26,16,1.0684403605409898e-05,0.0005162254822212085,2597.5090614637156
2023-11-14 21:51:29.710824,26,17,3.107072643615538e-07,0.0007816258364206578,2596.707025526336
2023-11-14 21:53:06.387892,26,18,1.490415684202162e-07,0.0009687792339179631,2596.9075345106808
2023-11-14 21:54:43.721585,26,19,4.186677324469201e-05,0.003801571629122837,2594.9024446672324
2023-11-14 21:56:20.651810,26,20,0.000368903623893857,0.010028785358861238,2588.285648183851
2023-11-14 21:57:58.636771,26,21,0.0006090888637118042,0.0012752659648860348,2596.707025526336
