datetime,batch,epoch,train_loss,val_loss
2023-10-18 23:53:03.456515,26,1,0.055699799209833145,0.02511752445860326
2023-10-19 00:08:40.720184,26,2,0.11736377328634262,0.008358967455985853
2023-10-19 00:27:22.497632,26,3,1.1091991662979126,0.002527166653371991
2023-10-19 00:42:38.514986,26,4,0.0003512926632538438,0.008086105781510736
2023-10-19 00:56:46.762751,26,5,0.5191444158554077,0.0004864617916335638
2023-10-19 01:20:18.395068,26,6,0.14005602896213531,0.000362750805553695
2023-10-19 01:32:16.102521,26,7,5.0461447244742885e-05,0.00021787501771251147
2023-10-19 01:42:02.602910,26,8,0.0001302703021792695,0.0002557474724608449
2023-10-19 01:56:30.473197,26,9,0.04788409173488617,7.921015886403638e-05
2023-10-19 02:13:44.350989,26,10,0.006304194685071707,8.345503997894682e-05
2023-10-19 02:23:40.283592,26,11,0.00015370480832643807,8.941255496945051e-05
2023-10-19 02:36:41.382850,26,12,2.741756907198578e-05,0.0001410822218040592
2023-10-19 02:59:58.053811,26,13,0.3382413387298584,0.00014480203945206453
2023-10-19 03:20:27.302264,26,14,0.018311521038413048,0.0003882898121918034
