datetime,batch,epoch,train_loss,val_loss,val_accuracy
2023-11-02 14:32:29.109702,26,1,0.04055780544877052,0.1952510912747868,92.48091308706717
2023-11-02 14:39:12.244622,26,2,0.010466552339494228,0.10387345766676566,96.00524408112902
2023-11-02 14:45:40.871529,26,3,0.01143277995288372,0.0576947878786769,97.86380812832574
2023-11-02 14:52:22.450924,26,4,0.08788588643074036,0.04462453438539581,98.43448754530732
2023-11-02 14:59:08.184606,26,5,0.013846207410097122,0.027133099366916196,99.05143826636848
2023-11-02 15:05:47.386613,26,6,0.01576865278184414,0.0197745921489662,99.33677797485926
2023-11-02 15:12:20.459286,26,7,0.0002943530271295458,0.016098634850136503,99.45245623505822
2023-11-02 15:18:56.970306,26,8,0.0008144935127347708,0.014140961983253549,99.5218631911776
2023-11-02 15:26:24.049243,26,9,5.0645190640352666e-05,0.011355322558904467,99.5681344952572
2023-11-02 15:34:52.467564,26,10,0.0006969619425944984,0.012647938509896435,99.60669391532352
2023-11-02 15:44:54.935192,26,11,6.758944073226303e-05,0.008061906884652786,99.737795943549
2023-11-02 15:55:54.480709,26,12,0.0011610420187935233,0.01127786491613788,99.68381275545616
2023-11-02 16:05:10.812130,26,13,0.006654093973338604,0.0059460205040856385,99.76864347960206
2023-11-02 16:14:41.920350,26,14,0.031217720359563828,0.005909601688426478,99.80720289966838
2023-11-02 16:22:44.922562,26,15,0.07427450269460678,0.0057156761632999814,99.81491478368166
2023-11-02 16:31:20.885835,26,16,0.004056892823427916,0.004211439794414356,99.86118608776124
2023-11-02 16:38:51.703233,26,17,0.00014040223322808743,0.005798040441868872,99.77635536361534
2023-11-02 16:47:46.666949,26,18,0.00295124389231205,0.0035728184135319593,99.86118608776124
2023-11-02 16:56:20.946778,26,19,0.0004047082329634577,0.005277035723193907,99.79177913164186
2023-11-02 17:04:48.808633,26,20,0.010481465607881546,0.008922096516574721,99.7609315955888
2023-11-02 17:13:12.093472,26,21,2.162000964744948e-05,0.0035547604642681336,99.84576231973472
2023-11-02 17:21:47.741987,26,22,3.2826195820234716e-05,0.0035134380248188907,99.87660985578776
2023-11-02 17:29:18.183498,26,23,6.142650090623647e-05,0.0024527851236745683,99.88432173980104
2023-11-02 17:42:02.763028,26,24,4.4494037865661085e-05,0.0027018738934298414,99.88432173980104
2023-11-02 17:53:30.130131,26,25,0.006402267143130302,0.0037840310367615606,99.86118608776124
2023-11-02 18:02:16.062571,26,26,9.853290976025164e-05,0.0022008169182485713,99.89974550782756
2023-11-02 18:12:23.401233,26,27,5.155969847692177e-05,0.004303728330847554,99.86118608776124
2023-11-02 18:22:31.898419,26,28,1.7881379221762472e-07,0.0029018165833044037,99.88432173980104
2023-11-02 18:32:53.335015,26,29,7.152530088205822e-07,0.0033050716260535234,99.86118608776124
2023-11-02 18:40:51.592968,26,30,0.01951003447175026,0.002623946955667645,99.89974550782756
2023-11-02 18:51:25.480883,26,31,0.0002206275676144287,0.002715563633888079,99.89974550782756
