datetime,batch,epoch,train_loss,val_loss
2023-11-01 19:25:43.491866,26,1,0.7509905695915222,0.4360771512758278
2023-11-01 19:31:10.194912,26,2,0.9969990253448486,0.38312154164713225
2023-11-01 19:36:36.598196,26,3,0.25993219017982483,0.3699542654637165
2023-11-01 19:42:09.677011,26,4,0.1604725867509842,0.35249664930100433
2023-11-01 19:47:48.799194,26,5,0.10811933875083923,0.3561577100889059
2023-11-01 19:53:23.266007,26,6,0.12158270925283432,0.3223688430852725
2023-11-01 19:58:57.896379,26,7,0.4191337823867798,0.3125753516101751
2023-11-01 20:04:31.795659,26,8,0.2652624547481537,0.3012858327666675
2023-11-01 20:10:05.343922,26,9,0.05341540277004242,0.29457071998188333
2023-11-01 20:15:41.352338,26,10,0.1024637222290039,0.28697338648782467
2023-11-01 20:21:19.129021,26,11,0.35883501172065735,0.2817833991254678
2023-11-01 20:27:24.837179,26,12,0.5033921003341675,0.2818974934729238
2023-11-01 20:33:46.498991,26,13,0.9781975746154785,0.2580888799955333
2023-11-01 20:39:41.512368,26,14,0.17327989637851715,0.27067919190924516
2023-11-01 20:45:28.492595,26,15,0.13212190568447113,0.24978759793615068
2023-11-01 20:51:19.816034,26,16,0.0594809465110302,0.26557909778108396
2023-11-01 20:57:03.346629,26,17,2.0911147594451904,0.22912598664420686
2023-11-01 21:02:46.734387,26,18,0.2452128678560257,0.21896152953497827
2023-11-01 21:08:32.974588,26,19,0.058672577142715454,0.21034832418833735
2023-11-01 21:14:16.808784,26,20,0.06001022458076477,0.2208017899681868
2023-11-01 21:20:18.594792,26,21,0.09110093116760254,0.2011395437843101
2023-11-01 21:26:20.429292,26,22,0.5244136452674866,0.1893740045032716
2023-11-01 21:32:14.182818,26,23,0.07955844700336456,0.1833717188825187
2023-11-01 21:38:02.198492,26,24,0.05734604224562645,0.1781029004952637
2023-11-01 21:43:49.879511,26,25,0.5634523034095764,0.17470880097920496
2023-11-01 21:49:45.675028,26,26,1.225704312324524,0.1645783535860393
2023-11-01 21:55:26.730714,26,27,0.1486789733171463,0.1559899307408077
